iter	RMSE
0	108318.5329
1	102665.5775
2	97767.98594
3	93473.01283
4	89763.29473
5	86499.09985
6	83733.28506
7	81272.01127
8	79131.10989
9	77367.17668
10	75565.47379
11	74261.47613
12	73042.32852
13	71986.86184
14	70698.81269
15	69737.03012
16	68891.70019
17	68292.80683
18	67600.65314
19	67132.80875
20	66592.61222
21	66117.01443
22	65680.82962
23	65240.76433
24	64808.92127
25	63975.74129
26	63631.20338
27	63295.8234
28	62925.62296
29	62614.55338
30	62022.54293
31	61640.72628
32	61273.13856
33	60820.6445
34	60401.2404
35	60149.26698
36	59740.54214
37	59484.45521
38	59254.08839
39	59033.86562
40	58490.9694
41	58160.63363
42	58010.06831
43	57805.53313
44	57620.30117
45	57409.68175
46	57182.81025
47	56959.55341
48	56805.10083
49	56549.5051
50	56376.933
51	56202.88568
52	56068.4186
53	55799.81051
54	55652.22239
55	55531.74771
56	55306.50209
57	55107.75931
58	54989.7809
59	54699.19779
60	54571.15013
61	54476.86625
62	54389.61861
63	54227.37637
64	53989.22693
65	53880.75546
66	53741.38764
67	53620.54116
68	53584.01855
69	53499.50655
70	53383.60305
71	53263.10809
72	53048.52826
73	52866.01755
74	52817.76467
75	52815.44432
76	52732.3514
77	52580.00147
78	52491.88482
79	52341.67937
80	52233.53216
81	52085.88501
82	51960.72681
83	51874.55666
84	51829.09991
85	51734.23463
86	51654.58521
87	51553.48699
88	51474.40647
89	51388.42653
90	51313.62484
91	51180.71785
92	51111.18881
93	51064.01578
94	50964.91247
95	50901.83645
96	50786.56247
97	50631.29403
98	50556.38503
99	50467.99058
100	50386.71918
101	50318.55686
102	50265.92011
103	50158.26119
104	50100.87431
105	50022.86028
106	49939.38152
107	49883.68249
108	49780.46684
109	49734.45748
110	49620.20835
111	49570.26287
112	49518.14699
113	49418.52602
114	49313.346
115	49228.88389
116	49164.7654
117	49097.62907
118	48989.49997
119	48904.07432
120	48847.73149
121	48793.84653
122	48735.69208
123	48691.9997
124	48615.64269
125	48533.88276
126	48440.5428
127	48409.02135
128	48357.53969
129	48298.46374
130	48228.92239
131	48174.05217
132	48125.08222
133	48053.82779
134	47998.52131
135	47951.94765
136	47878.82653
137	47836.85466
138	47803.73847
139	47734.45977
140	47693.60862
141	47600.59677
142	47531.03566
143	47461.31882
144	47384.44491
145	47342.59377
146	47259.82285
147	47204.05814
148	47169.74189
149	47129.19089
150	47059.24266
151	47007.873
152	46926.9489
153	46890.69411
154	46845.01632
155	46779.86677
156	46726.74073
157	46663.60284
158	46638.12995
159	46584.16416
160	46550.43879
161	46495.70103
162	46455.38677
163	46403.78313
164	46341.91695
165	46283.15366
166	46238.50591
167	46157.45554
168	46100.94182
169	46063.03502
170	46034.55868
171	46002.39152
172	45979.30705
173	45944.16474
174	45913.76845
175	45878.34694
176	45850.40263
177	45826.04968
178	45768.58816
179	45730.65047
180	45679.8328
181	45638.11284
182	45602.65144
183	45573.4241
184	45520.75622
185	45469.74982
186	45417.26905
187	45373.9421
188	45318.09412
189	45280.16016
190	45210.27759
191	45177.60495
192	45128.02505
193	45093.59478
194	45066.15785
195	45037.29576
196	44984.73891
197	44935.12373
198	44905.5396
199	44854.37994
200	44819.82819
201	44769.37694
202	44725.67549
203	44702.67243
204	44662.85537
205	44639.47297
206	44581.28225
207	44539.74919
208	44495.91592
209	44460.02355
210	44413.80675
211	44388.49067
212	44364.9036
213	44330.02719
214	44300.79165
215	44235.67556
216	44203.35117
217	44169.04293
218	44144.39708
219	44118.76604
220	44074.67767
221	44032.86142
222	43979.85712
223	43954.08786
224	43922.08073
225	43876.00286
226	43856.77722
227	43848.38044
228	43806.08402
229	43758.29299
230	43737.50035
231	43714.34652
232	43682.06383
233	43654.87793
234	43617.03547
235	43589.0348
236	43539.56515
237	43507.28789
238	43467.25908
239	43435.76415
240	43410.2638
241	43392.15343
242	43378.87179
243	43339.4929
244	43315.71746
245	43295.90776
246	43274.07736
247	43223.06343
248	43182.56888
249	43162.25832
250	43134.69761
251	43111.30303
252	43099.8077
253	43083.96247
254	43071.58172
255	43042.47444
256	43022.10526
257	42995.55025
258	42966.87208
259	42937.11557
260	42914.87834
261	42876.18653
262	42841.64039
263	42814.70405
264	42788.33718
265	42776.39296
266	42758.34344
267	42734.72271
268	42698.20811
269	42671.29528
270	42651.28801
271	42636.59008
272	42624.20047
273	42598.70175
274	42561.2087
275	42533.84227
276	42501.86009
277	42474.64685
278	42459.5229
279	42438.09949
280	42399.73878
281	42367.61766
282	42324.73413
283	42300.96945
284	42275.82228
285	42250.64101
286	42225.20466
287	42196.39592
288	42160.74661
289	42151.21743
290	42132.73058
291	42100.25105
292	42078.58748
293	42047.86594
294	42026.84938
295	42000.67465
296	41985.53777
297	41968.65249
298	41932.21729
299	41919.2236
300	41907.19668
301	41881.68854
302	41857.7455
303	41830.08738
304	41818.81426
305	41788.64249
306	41758.28211
307	41720.97865
308	41700.33719
309	41691.60911
310	41648.60329
311	41630.5646
312	41604.59322
313	41587.44987
314	41562.57124
315	41535.03921
316	41530.98042
317	41509.57143
318	41483.59992
319	41479.78545
320	41458.94162
321	41429.36529
322	41416.62492
323	41373.59674
324	41355.4004
325	41327.0095
326	41313.85094
327	41289.34771
328	41273.67581
329	41253.42132
330	41239.07536
331	41207.21137
332	41189.10474
333	41170.76358
334	41152.82329
335	41142.3661
336	41118.84228
337	41101.74277
338	41069.78256
339	41032.71149
340	40997.28891
341	40975.81286
342	40951.41308
343	40924.57537
344	40903.39739
345	40876.6524
346	40861.00185
347	40846.96372
348	40836.13044
349	40814.95402
350	40787.41304
351	40764.02274
352	40739.66145
353	40714.77952
354	40698.33831
355	40681.85209
356	40666.25293
357	40638.23208
358	40615.72246
359	40590.78117
360	40575.44163
361	40561.54866
362	40547.31144
363	40507.58563
364	40473.10554
365	40448.18253
366	40418.97786
367	40396.70448
368	40384.56344
369	40374.25244
370	40360.12071
371	40330.28884
372	40307.76402
373	40288.74631
374	40270.16644
375	40244.71945
376	40230.63177
377	40207.24548
