iter	Passed	Remaining
0	172	172592
1	198	98830
2	222	74054
3	247	61720
4	266	53052
5	283	46962
6	302	42845
7	323	40117
8	339	37394
9	355	35224
10	372	33515
11	392	32283
12	409	31092
13	427	30093
14	443	29144
15	461	28370
16	478	27647
17	495	27015
18	513	26508
19	530	26000
20	547	25532
21	565	25147
22	582	24761
23	600	24417
24	618	24102
25	635	23801
26	653	23545
27	673	23394
28	691	23169
29	709	22948
30	728	22759
31	746	22567
32	762	22349
33	780	22171
34	799	22038
35	816	21852
36	833	21698
37	849	21514
38	866	21347
39	882	21185
40	910	21293
41	928	21175
42	946	21057
43	963	20943
44	981	20819
45	998	20716
46	1015	20591
47	1031	20463
48	1048	20341
49	1066	20254
50	1083	20167
51	1102	20091
52	1119	20004
53	1136	19913
54	1154	19839
55	1171	19751
56	1190	19695
57	1209	19638
58	1226	19561
59	1244	19490
60	1262	19428
61	1280	19372
62	1296	19286
63	1313	19212
64	1331	19146
65	1347	19073
66	1370	19078
67	1387	19020
68	1401	18905
69	1417	18827
70	1434	18766
71	1450	18698
72	1468	18650
73	1485	18584
74	1501	18520
75	1508	18338
76	1524	18279
77	1542	18231
78	1560	18188
79	1578	18151
80	1596	18116
81	1615	18086
82	1631	18025
83	1649	17986
84	1662	17899
85	1678	17840
86	1696	17798
87	1713	17756
88	1731	17720
89	1749	17684
90	1766	17645
91	1784	17608
92	1801	17573
93	1819	17536
94	1837	17502
95	1855	17476
96	1872	17428
97	1890	17397
98	1907	17357
99	1924	17323
100	1942	17290
101	1958	17242
102	1975	17205
103	1994	17181
104	2012	17150
105	2030	17127
106	2048	17095
107	2065	17060
108	2082	17023
109	2099	16989
110	2115	16946
111	2133	16915
112	2154	16908
113	2174	16900
114	2193	16878
115	2212	16860
116	2229	16829
117	2247	16797
118	2264	16766
119	2281	16730
120	2298	16699
121	2316	16667
122	2333	16634
123	2350	16602
124	2367	16572
125	2384	16537
126	2402	16514
127	2419	16483
128	2437	16455
129	2453	16422
130	2470	16389
131	2488	16361
132	2505	16334
133	2523	16305
134	2540	16278
135	2558	16253
136	2575	16226
137	2593	16198
138	2610	16171
139	2628	16144
140	2646	16120
141	2663	16092
142	2680	16067
143	2699	16047
144	2717	16025
145	2738	16018
146	2758	16004
147	2776	15986
148	2794	15958
149	2812	15935
150	2829	15909
151	2846	15881
152	2864	15855
153	2883	15840
154	2901	15815
155	2918	15788
156	2936	15765
157	2953	15738
158	2970	15712
159	2987	15685
160	3004	15655
161	3020	15625
162	3037	15599
163	3054	15572
164	3072	15548
165	3089	15524
166	3107	15502
167	3125	15479
168	3143	15457
169	3165	15454
170	3185	15441
171	3200	15406
172	3226	15424
173	3253	15442
174	3277	15452
175	3307	15486
176	3337	15516
177	3366	15546
178	3404	15614
179	3432	15636
180	3463	15673
181	3490	15687
182	3508	15662
183	3526	15639
184	3545	15621
185	3563	15595
186	3581	15572
187	3599	15546
188	3617	15523
189	3636	15501
190	3654	15480
191	3674	15463
192	3691	15435
193	3708	15406
194	3728	15392
195	3757	15414
196	3784	15427
197	3805	15412
198	3821	15382
199	3837	15351
200	3853	15318
201	3869	15288
202	3887	15263
203	3905	15237
204	3922	15212
205	3940	15188
206	3958	15164
207	3975	15138
208	3994	15117
209	4011	15091
210	4028	15065
211	4046	15040
212	4064	15016
213	4084	15003
214	4102	14979
215	4120	14956
216	4138	14931
217	4156	14909
218	4174	14886
219	4190	14858
220	4208	14833
221	4225	14807
222	4243	14785
223	4262	14764
224	4279	14741
225	4297	14716
226	4314	14691
227	4331	14664
228	4348	14640
229	4365	14615
230	4383	14591
231	4401	14569
232	4419	14548
233	4436	14522
234	4453	14498
235	4470	14473
236	4488	14449
237	4505	14426
238	4524	14407
239	4542	14385
240	4561	14366
241	4579	14343
242	4596	14319
243	4615	14299
244	4634	14280
245	4652	14260
246	4670	14239
247	4688	14216
248	4705	14192
249	4722	14167
250	4738	14139
251	4756	14117
252	4773	14093
253	4790	14069
254	4807	14046
255	4825	14024
256	4842	14001
257	4862	13983
258	4879	13961
259	4898	13942
260	4917	13923
261	4933	13897
262	4951	13875
263	4967	13849
264	4984	13826
265	5000	13799
266	5017	13775
267	5035	13753
268	5052	13730
269	5069	13706
270	5087	13684
271	5104	13661
272	5121	13639
273	5140	13619
274	5157	13597
275	5176	13577
276	5194	13559
277	5212	13537
278	5231	13519
279	5249	13499
280	5267	13477
281	5296	13484
282	5315	13467
283	5333	13447
284	5351	13425
285	5369	13405
286	5386	13381
287	5403	13358
288	5419	13333
289	5435	13308
290	5453	13286
291	5472	13269
292	5491	13249
293	5508	13227
294	5526	13208
295	5545	13188
296	5563	13167
297	5581	13147
298	5599	13128
299	5617	13107
300	5635	13086
301	5652	13065
302	5682	13070
303	5717	13090
304	5745	13091
305	5774	13097
306	5798	13088
307	5816	13067
308	5834	13046
309	5856	13035
310	5877	13022
311	5896	13001
312	5914	12982
313	5933	12963
314	5952	12943
315	5969	12921
316	5986	12898
317	6004	12877
318	6020	12852
319	6035	12825
320	6053	12803
321	6071	12783
322	6088	12761
323	6106	12740
324	6124	12720
325	6142	12699
326	6160	12678
327	6178	12657
328	6195	12635
329	6213	12615
330	6230	12593
331	6250	12575
332	6266	12551
333	6282	12528
334	6300	12506
335	6316	12483
336	6334	12462
337	6352	12440
338	6368	12418
339	6386	12396
340	6404	12376
341	6421	12355
342	6438	12333
343	6456	12313
344	6474	12291
345	6492	12271
346	6511	12254
347	6529	12234
348	6548	12214
349	6565	12192
350	6582	12171
351	6600	12150
352	6617	12129
353	6635	12108
354	6651	12085
355	6669	12064
356	6688	12046
357	6705	12025
358	6723	12005
359	6740	11982
360	6757	11961
361	6774	11939
362	6792	11919
363	6809	11898
364	6827	11877
365	6844	11856
366	6862	11835
367	6880	11816
368	6898	11796
369	6917	11777
370	6935	11758
371	6953	11737
372	6970	11717
373	6988	11697
374	7005	11676
375	7024	11657
376	7041	11636
377	7058	11614
378	7075	11593
379	7092	11572
380	7109	11550
381	7126	11528
382	7142	11506
383	7160	11486
384	7178	11467
385	7197	11448
386	7215	11429
387	7232	11408
388	7251	11389
389	7269	11369
390	7287	11349
391	7305	11330
392	7322	11309
393	7338	11287
394	7355	11266
395	7372	11244
396	7390	11225
397	7408	11205
398	7425	11184
399	7443	11164
400	7460	11143
401	7477	11123
402	7496	11105
403	7514	11086
404	7533	11068
405	7551	11048
406	7568	11026
407	7586	11008
408	7604	10988
409	7622	10968
410	7639	10948
411	7654	10924
412	7676	10910
413	7694	10891
414	7711	10870
415	7728	10850
416	7745	10829
417	7763	10809
418	7781	10789
419	7798	10769
420	7816	10750
421	7834	10730
422	7851	10709
423	7868	10688
424	7887	10670
425	7904	10650
426	7924	10633
427	7943	10616
428	7961	10596
429	7979	10578
430	7997	10558
431	8015	10539
432	8033	10519
433	8050	10499
434	8072	10485
435	8090	10465
436	8107	10444
437	8125	10425
438	8142	10405
439	8159	10385
440	8179	10367
441	8196	10347
442	8214	10328
443	8233	10310
444	8251	10290
445	8268	10270
446	8285	10250
447	8303	10230
448	8321	10211
449	8340	10193
450	8358	10174
451	8376	10155
452	8393	10135
453	8410	10115
454	8428	10095
455	8446	10077
456	8464	10057
457	8481	10037
458	8499	10018
459	8517	9998
460	8535	9980
461	8552	9958
462	8567	9937
463	8585	9917
464	8602	9897
465	8621	9879
466	8639	9860
467	8657	9841
468	8674	9821
469	8692	9802
470	8709	9781
471	8726	9761
472	8742	9740
473	8759	9720
474	8776	9700
475	8793	9679
476	8810	9660
477	8827	9639
478	8844	9619
479	8861	9600
480	8879	9580
481	8896	9561
482	8915	9542
483	8934	9524
484	8953	9507
485	8970	9487
486	8989	9468
487	9006	9449
488	9022	9428
489	9040	9409
490	9059	9391
491	9077	9372
492	9094	9353
493	9113	9334
494	9131	9316
495	9153	9300
496	9171	9282
497	9191	9264
498	9209	9246
499	9227	9227
500	9244	9207
501	9260	9187
502	9278	9168
503	9297	9149
504	9315	9131
505	9333	9111
506	9351	9093
507	9370	9075
508	9388	9056
509	9406	9037
510	9423	9018
511	9442	8999
512	9464	8984
513	9483	8967
514	9500	8947
515	9517	8927
516	9534	8907
517	9551	8887
518	9568	8868
519	9584	8847
520	9603	8829
521	9621	8810
522	9639	8791
523	9657	8772
524	9674	8753
525	9692	8734
526	9709	8715
527	9727	8696
528	9745	8677
529	9762	8657
530	9781	8639
531	9799	8620
532	9816	8601
533	9835	8582
534	9852	8563
535	9871	8545
536	9889	8526
537	9908	8508
538	9926	8490
539	9944	8471
540	9961	8451
541	9979	8432
542	9997	8413
543	10014	8394
544	10031	8375
545	10048	8355
546	10065	8335
547	10090	8322
548	10108	8303
549	10126	8285
550	10143	8265
551	10160	8246
552	10178	8227
553	10196	8208
554	10213	8189
555	10231	8170
556	10250	8152
557	10267	8133
558	10283	8113
559	10300	8092
560	10318	8074
561	10336	8055
562	10353	8036
563	10373	8019
564	10391	8000
565	10409	7981
566	10428	7963
567	10446	7945
568	10463	7925
569	10480	7906
570	10497	7887
571	10515	7868
572	10532	7848
573	10549	7829
574	10566	7810
575	10584	7791
576	10603	7773
577	10620	7754
578	10638	7735
579	10656	7716
580	10674	7698
581	10694	7680
582	10713	7662
583	10730	7643
584	10747	7624
585	10764	7604
586	10781	7585
587	10798	7566
588	10817	7548
589	10835	7529
590	10852	7510
591	10868	7490
592	10885	7471
593	10903	7452
594	10923	7435
595	10940	7416
596	10958	7397
597	10975	7378
598	10992	7359
599	11010	7340
600	11028	7321
601	11045	7302
602	11063	7283
603	11080	7264
604	11096	7245
605	11115	7226
606	11132	7207
607	11149	7188
608	11165	7168
609	11183	7150
610	11200	7131
611	11218	7112
612	11237	7094
613	11263	7081
614	11282	7063
615	11299	7043
616	11316	7024
617	11333	7005
618	11350	6986
619	11368	6967
620	11385	6948
621	11402	6929
622	11419	6910
623	11436	6891
624	11453	6872
625	11470	6853
626	11487	6834
627	11504	6814
628	11522	6796
629	11540	6777
630	11559	6759
631	11576	6740
632	11592	6721
633	11610	6702
634	11627	6683
635	11645	6664
636	11663	6646
637	11680	6627
638	11699	6609
639	11717	6591
640	11735	6572
641	11752	6553
642	11770	6535
643	11789	6517
644	11806	6498
645	11823	6479
646	11841	6460
647	11859	6442
648	11876	6423
649	11893	6404
650	11909	6384
651	11927	6366
652	11945	6347
653	11963	6329
654	11981	6311
655	11999	6292
656	12016	6273
657	12034	6255
658	12052	6236
659	12070	6218
660	12088	6199
661	12108	6182
662	12126	6163
663	12143	6144
664	12160	6126
665	12179	6107
666	12196	6088
667	12212	6069
668	12229	6050
669	12246	6031
670	12263	6013
671	12282	5995
672	12299	5976
673	12317	5957
674	12336	5939
675	12355	5921
676	12373	5903
677	12391	5884
678	12409	5866
679	12425	5847
680	12442	5828
681	12460	5810
682	12477	5791
683	12494	5772
684	12511	5753
685	12529	5735
686	12547	5716
687	12563	5697
688	12581	5678
689	12599	5660
690	12616	5641
691	12634	5623
692	12651	5604
693	12668	5585
694	12687	5568
695	12706	5549
696	12723	5531
697	12741	5512
698	12758	5494
699	12777	5476
700	12795	5457
701	12812	5438
702	12830	5420
703	12848	5402
704	12866	5383
705	12884	5365
706	12901	5346
707	12920	5328
708	12938	5310
709	12955	5291
710	12972	5273
711	12989	5254
712	13010	5237
713	13034	5220
714	13050	5201
715	13068	5183
716	13085	5164
717	13102	5146
718	13119	5127
719	13136	5108
720	13152	5089
721	13170	5071
722	13188	5052
723	13206	5034
724	13223	5015
725	13241	4997
726	13258	4978
727	13275	4959
728	13293	4941
729	13309	4922
730	13328	4904
731	13345	4886
732	13363	4867
733	13381	4849
734	13400	4831
